district,mean_dbi,ci_lo,ci_hi,rank_stability_pct
Western Area Urban,15.860311829072744,11.93529305799571,19.796030847918843,0.0
Western Area Rural,59.39231135526103,56.8371067774172,61.920939114666986,0.0
Bo,52.144120294984006,49.28347585009641,55.02729838452184,0.0
Kenema,56.40233618812242,53.55970723560249,59.25417780303972,0.0
Kono,66.89542012244233,64.18312982981345,69.61166468077474,0.0
Bombali,63.03849862234392,60.23190521790182,65.87976025853447,0.0
Tonkolili,78.33341519390136,75.72709215871532,80.97890960007209,0.03
Port Loko,65.2598932531652,62.68322219632206,67.83664604209277,0.0
Kambia,74.81389113684332,72.22006622563178,77.39768531791188,0.0
Koinadugu,84.99304553919993,82.19563476042532,87.89720534872826,93.08999999999999
Falaba,88.62903187048859,85.72690382469467,91.54431715229586,99.97
Kailahun,83.06469307377266,80.32731224888386,85.88631191534343,51.580000000000005
Pujehun,83.15107614931274,80.32077609610354,85.91670252917427,55.33
Moyamba,76.41459970091191,73.62884607524316,79.09104793049677,0.0
